nExec,energy, exec_time, cpu_time, memory, heap_size, heap_alloc, heap_free, pss_low, pss_med, pss_high
1,3.63772,2.443,2.198,65.182,31.544,24.028,7.515,0.0,0.0,0.0,
2,3.62299,2.458,2.224,65.9,31.868,24.027,7.84,0.0,0.0,0.0,
3,3.87336,2.459,2.237,65.33,31.608,23.95,7.657,0.0,0.0,0.0,
4,3.78308,2.476,2.217,65.834,32.04,23.979,8.06,0.0,0.0,0.0,
5,3.82758,2.397,2.232,64.314,31.692,24.068,7.623,0.0,0.0,0.0,
6,3.67923,2.452,2.215,74.76,31.604,24.114,7.489,0.0,0.0,0.0,
7,3.66439,2.359,2.237,64.314,31.628,24.029,7.598,0.0,0.0,0.0,
8,3.69406,2.446,2.233,64.691,31.496,23.949,7.546,0.0,0.0,0.0,
9,3.63472,2.454,2.219,61.765,31.552,24.019,7.532,0.0,0.0,0.0,
10,3.89041,2.531,2.237,61.811,31.656,24.025,7.63,0.0,0.0,0.0,
11,3.72892,2.601,2.23,61.905,31.888,23.927,7.96,0.0,0.0,0.0,
12,3.71424,2.544,2.273,61.504,31.56,23.919,7.64,0.0,0.0,0.0,
13,3.62616,2.492,2.179,61.597,31.664,24.011,7.652,0.0,0.0,0.0,
14,3.64084,2.541,2.214,67.508,32.068,24.101,7.966,0.0,0.0,0.0,
15,3.91977,2.462,2.213,66.782,31.631,24.01,7.62,0.0,0.0,0.0,
16,3.77297,2.491,2.195,67.217,31.947,24.009,7.937,0.0,0.0,0.0,
17,3.75828,2.497,2.251,67.064,31.907,24.01,7.896,0.0,0.0,0.0,
18,3.61148,2.5,2.238,66.921,31.983,24.01,7.972,0.0,0.0,0.0,
19,3.64084,2.452,2.228,66.533,31.675,24.028,7.646,0.0,0.0,0.0,
20,3.62616,2.503,2.209,67.152,31.956,24.018,7.937,0.0,0.0,0.0,
21,3.89041,2.47,2.199,66.484,31.511,23.926,7.584,0.0,0.0,0.0,
22,3.75828,2.516,2.251,66.577,31.611,24.045,7.565,0.0,0.0,0.0,
23,3.75828,2.49,2.223,66.916,32.007,24.041,7.965,0.0,0.0,0.0,
24,3.61148,2.423,2.217,66.643,31.591,24.042,7.548,0.0,0.0,0.0,
25,3.63007,2.512,2.254,77.136,32.052,24.117,7.934,0.0,0.0,0.0,
26,3.64483,2.467,2.225,66.378,31.511,23.956,7.554,0.0,0.0,0.0,
27,3.9252,2.564,2.223,66.643,31.651,24.041,7.609,0.0,0.0,0.0,
28,3.80715,2.544,2.237,66.481,31.611,23.972,7.638,0.0,0.0,0.0,
29,3.77764,2.487,2.195,66.323,31.543,23.953,7.589,0.0,0.0,0.0,
30,3.63007,2.513,2.224,66.325,31.523,24.071,7.451,0.0,0.0,0.0,
31,3.64483,2.477,2.245,66.681,31.927,23.977,7.949,0.0,0.0,0.0,
32,3.63007,2.554,2.221,66.776,31.979,24.031,7.947,0.0,0.0,0.0,
33,3.77764,2.455,2.207,66.496,31.607,24.092,7.514,0.0,0.0,0.0,
34,3.76288,2.492,2.224,66.893,31.995,24.001,7.993,0.0,0.0,0.0,
35,3.76288,2.542,2.233,66.837,31.695,24.169,7.525,0.0,0.0,0.0,
36,3.64483,2.484,2.192,66.716,31.599,24.065,7.533,0.0,0.0,0.0,
37,3.64483,2.49,2.234,76.345,31.679,24.129,7.549,0.0,0.0,0.0,
38,3.93996,2.626,2.222,63.662,31.531,24.006,7.524,0.0,0.0,0.0,
39,3.77764,2.683,2.19,63.65,31.603,24.0,7.602,0.0,0.0,0.0,
40,3.74813,2.687,2.232,63.939,32.015,24.061,7.953,0.0,0.0,0.0,
41,3.63007,2.586,2.225,63.566,31.539,23.972,7.566,0.0,0.0,0.0,
42,3.63007,2.633,2.204,63.935,31.951,23.953,7.997,0.0,0.0,0.0,
43,3.9252,2.606,2.221,63.528,31.575,23.948,7.626,0.0,0.0,0.0,
44,3.76288,2.537,2.195,64.202,31.999,24.074,7.924,0.0,0.0,0.0,
45,3.79239,2.579,2.22,74.009,31.687,24.024,7.662,0.0,0.0,0.0,
